,MAE,RMSE,MAPE,Accuracy
sarima,235294000.0,263066689.34891775,30.72660880523267,69.27339119476733
prophet,1887777272.3935833,2029323062.394572,243.2197746797412,0.0
ets,178800067.44848022,206593811.30024037,21.77808518933019,78.2219148106698
xgboost,283931877.2,317444995.0298562,37.07812106124394,62.92187893875606
